participant_id	ses	Other	Emotion	Realistic	Deliberate	Intrusive	Words	Abstract	Creative	Decoupling	Detailed	Temporal D	Future	Important	Stop	Vivid	Thematic	Past	Self	Evolving	Problem	Images	Habit
sub-ADIE111	3mf	1	2	3	1	2	2	3	2	3	2	2	2	3	3	2	3	3	4	1	4	3	3
sub-ADIE111	baseline	2	1	1	1	3	3	1	1	3	2	1	1	3	3	4	3	1	4	2	3	1	1
sub-ADIE194	3mf	3	2	4	3	3	3	2	2	3	2	4	3	4	3	3	3	3	4	3	2	3	4
sub-ADIE194	baseline	2	3	3	1	2	2	1	1	2	2	2	3	3	2	2	3	2	2	1	1	3	3
sub-ADIE217	baseline	2	3	3	2	3	3	4	3	4	2	3	3	2	3	2	2	2	2	1	4	1	3
sub-ADIE229	baseline	1	2	1	3	3	3	1	1	2	3	2	2	1	4	1	4	2	4	1	2	1	2
sub-CONADIE001	baseline	1	1	1	4	1	4	1	1	1	4	1	1	1	1	1	1	1	1	1	1	2	1
sub-CONADIE002	baseline	1	4	1	3	1	2	1	1	1	4	1	2	1	1	1	4	1	3	1	2	1	1
sub-CONADIE003	baseline	1	4	1	1	1	4	2	1	3	1	1	1	1	1	4	3	1	1	1	1	4	2
sub-CONADIE004	baseline	4	3	3	2	2	3	1	1	2	2	2	2	3	2	2	2	3	2	2	2	3	3
sub-CONADIE005	baseline	2	2	2	1	1	3	1	1	1	1	3	2	2	3	2	1	1	3	1	2	3	2
sub-CONADIE007	baseline	2	2	2	2	2	4	1	2	2	3	2	2	4	2	2	4	2	2	2	4	2	2
sub-CONADIE008	baseline	1	3	3	4	3	3	3	1	3	2	1	1	2	3	2	3	2	1	1	4	3	2
